SKU,Item_Name,Category,Subcategory,Product_Name,Default_Unit,Default_Price,Taxable,Reorder_Point,Date_Added,Last_Updated,Status,Notes,Size,Item_Description,Wholesale_Cost,Retail_Markup,Retail_Price,Unit_Cost,Unit_Price,Last_Invoice_No,Last_Vendor,Last_Received_Date,Supplier_Barcode,QR_Code,QR_Image_Path
PLA-F810C1D9,"plact, rose",Plant,Plant,"plact, rose",each,34.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,2 gal,"plact, rose",12.75,,34.99,12.75,34.99,,Mountain Gardens,2025-12-26,,,
SUP-DF071183,Plalosein,Supply,Supply,Plalosein,each,34.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,,Plalosein,15.12,,34.99,15.12,34.99,,Mountain Gardens,2025-12-26,,,
PLA-CB7C6B18,"pland, herb",Plant,Plant,"pland, herb",each,7.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,"pland, herb",,,7.99,,7.99,,Mountain Gardens,2025-12-26,,,
PLA-B214A6A6,Plant,Plant,Plant,Plant,each,49.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,"3""",Plant,20.64,,49.99,20.64,49.99,,Mountain Gardens,2025-12-26,,,
PLA-4C05E6DB,Plant,Plant,Plant,Plant,each,5.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,"4""",Plant,1.55,,5.99,1.55,5.99,,Mountain Gardens,2025-12-26,,,
PLA-B0AB4025,Plant,Plant,Plant,Plant,each,16.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,6in,Plant,,,16.99,,16.99,,Mountain Gardens,2025-12-26,,,
PLA-728CC09D,Plant,Plant,Plant,Plant,each,59.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,6pk,Plant,24.88,,59.99,24.88,59.99,,Mountain Gardens,2025-12-26,,,
PLA-40FE8A8B,Plant,Plant,Plant,Plant,each,9.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,4.45,,9.99,4.45,9.99,,Mountain Gardens,2025-12-26,,,
PLA-8ECFAA9A,Plant,Plant,Plant,Plant,each,29.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,3 gal,Plant,11.25,,29.99,11.25,29.99,,Mountain Gardens,2025-12-26,,,
PLA-D56CACAC,Plant,Plant,Plant,Plant,each,24.99,Y,5,2025-12-26 20:31:54,2025-12-26 20:31:54,Active,Imported from mountain_gardens_premium_import_final.csv,5 gal,Plant,10.0,,24.99,10.0,24.99,,Mountain Gardens,2025-12-26,,,
PLA-753CF9BA,Plant,Plant,Plant,Plant,each,9.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,4.1,,9.99,4.1,9.99,,Mountain Gardens,2025-12-26,,,
PLA-0E8D11D3,Plant,Plant,Plant,Plant,each,69.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,2 gal,Plant,33.5,,69.99,33.5,69.99,,Mountain Gardens,2025-12-26,,,
PLA-742915A6,Plant,Plant,Plant,Plant,each,129.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,,Plant,65.0,,129.99,65.0,129.99,,Mountain Gardens,2025-12-26,,,
PLA-3B11F0A7,Plant,Plant,Plant,Plant,each,69.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,5 gal,Plant,15.75,,69.99,15.75,69.99,,Mountain Gardens,2025-12-26,,,
PLA-FE44EF6E,Plant,Plant,Plant,Plant,each,199.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,15 gal,Plant,10.0,,199.99,10.0,199.99,,Mountain Gardens,2025-12-26,,,
PLA-BD80C29B,Plant,Plant,Plant,Plant,each,7.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,,,7.99,,7.99,,Mountain Gardens,2025-12-26,,,
PLA-BA2DB589,Plant,Plant,Plant,Plant,each,14.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,4.5,,14.99,4.5,14.99,,Mountain Gardens,2025-12-26,,,
PLA-661B2B28,Plant,Plant,Plant,Plant,each,9.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,3.65,,9.99,3.65,9.99,,Mountain Gardens,2025-12-26,,,
PLA-41C7803F,Plant,Plant,Plant,Plant,each,9.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,4.25,,9.99,4.25,9.99,,Mountain Gardens,2025-12-26,,,
PLA-A90EE062,Plant,Plant,Plant,Plant,each,9.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,3.75,,9.99,3.75,9.99,,Mountain Gardens,2025-12-26,,,
PLA-970F1527,Plant,Plant,Plant,Plant,each,9.99,Y,5,2025-12-26 20:31:55,2025-12-26 20:31:55,Active,Imported from mountain_gardens_premium_import_final.csv,1 gal,Plant,3.75,,9.99,3.75,9.99,,Mountain Gardens,2025-12-26,,,
