Entry ID,Pay Date,Base Pay,Vacation Pay,Holiday Pay,Training Pay,Gross Pay,Federal Tax,Medicare,Social Security,CA State Tax,CA SDI Tax,Uniform Deduction,Net Pay,Expenses,Investments,Tag
PAY2025-01,2025-01-01 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-02,2025-01-15 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-03,2025-01-29 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-04,2025-02-12 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-05,2025-02-26 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-06,2025-03-12 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-07,2025-03-26 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-08,2025-04-09 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-09,2025-04-23 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-10,2025-05-07 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-11,2025-05-21 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-12,2025-06-04 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-13,2025-06-18 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-14,2025-07-02 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-15,2025-07-16 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-16,2025-07-30 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-17,2025-08-13 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-18,2025-08-27 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-19,2025-09-10 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-20,2025-09-24 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-21,2025-10-08 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-22,2025-10-22 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-23,2025-11-05 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-24,2025-11-19 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-25,2025-12-03 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
PAY2025-26,2025-12-17 00:00:00,1727.28,24.0,0.0,0.0,1751.28,-131.75,-25.4,-108.58,-41.55,-21.02,-17.99,1404.99,0.0,0.0,PAYROLL
TOTAL,,44909.28,624.0,0.0,0.0,45533.28,-3425.5,-660.3999999999999,-2823.08,-1080.3,-546.52,-467.74,36529.74,0.0,0.0,PAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLLPAYROLL
