address,city,state,zip_code,source,source_url,keyword,market_key,motivation_score,skip_trace_urls,outreach_sms
Zillow listing in 63107,St. Louis,MO,63107,zillow_keyword,https://www.zillow.com/homes/63107_rb/?searchQueryState=%7B%22keyword%22%3A%22land%20only%22%7D,land only,st_louis,45,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063107&citystatezip=St.%20Louis%2C%20MO', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63107_st. louis-mo', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-63107/St. Louis-MO', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2063107%20St.%20Louis%2C%20MO', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2063107%20St.%20Louis%2C%20MO', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063107+St.%20Louis%2C%20MO+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063107+St.%20Louis%2C%20MO+email', 'county_assessor': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2063107&citystatezip=St.%20Louis%2C%20MO'}","Hello, I'm an investor interested in properties in St. Louis. I can close quickly with cash. Is your property at Zillow listing in 63107 available? - Rich, Everlight. STOP to opt out."
Zillow listing in 63118,St. Louis,MO,63118,zillow_keyword,https://www.zillow.com/homes/63118_rb/?searchQueryState=%7B%22keyword%22%3A%22lot%20value%22%7D,lot value,st_louis,45,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063118&citystatezip=St.%20Louis%2C%20MO', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63118_st. louis-mo', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-63118/St. Louis-MO', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2063118%20St.%20Louis%2C%20MO', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2063118%20St.%20Louis%2C%20MO', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063118+St.%20Louis%2C%20MO+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063118+St.%20Louis%2C%20MO+email', 'county_assessor': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2063118&citystatezip=St.%20Louis%2C%20MO'}","Hi there, I help homeowners in St. Louis sell quickly for cash. Saw your property at Zillow listing in 63118. Any interest in a no-obligation offer? - Rich. Reply STOP to opt out."
Zillow listing in 75216,Dallas-Fort Worth,TX,75216,zillow_keyword,https://www.zillow.com/homes/75216_rb/?searchQueryState=%7B%22keyword%22%3A%22buildable%20lot%22%7D,buildable lot,dallas,40,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2075216&citystatezip=Dallas-Fort%20Worth%2C%20TX', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-75216_dallas-fort worth-tx', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-75216/Dallas-Fort Worth-TX', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2075216%20Dallas-Fort%20Worth%2C%20TX', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2075216%20Dallas-Fort%20Worth%2C%20TX', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075216+Dallas-Fort%20Worth%2C%20TX+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075216+Dallas-Fort%20Worth%2C%20TX+email', 'county_assessor': 'https://www.google.com/search?q=Dallas-Fort%20Worth%2C%20TX+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=Dallas-Fort%20Worth%2C%20TX+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2075216&citystatezip=Dallas-Fort%20Worth%2C%20TX'}","Hi, I saw your property at Zillow listing in 75216 and wanted to reach out. I buy properties in Dallas-Fort Worth for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 63107,St. Louis,MO,63107,zillow_keyword,https://www.zillow.com/homes/63107_rb/?searchQueryState=%7B%22keyword%22%3A%22as%20is%22%7D,as is,st_louis,40,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063107&citystatezip=St.%20Louis%2C%20MO', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63107_st. louis-mo', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-63107/St. Louis-MO', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2063107%20St.%20Louis%2C%20MO', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2063107%20St.%20Louis%2C%20MO', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063107+St.%20Louis%2C%20MO+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063107+St.%20Louis%2C%20MO+email', 'county_assessor': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2063107&citystatezip=St.%20Louis%2C%20MO'}","Hi, I saw your property at Zillow listing in 63107 and wanted to reach out. I buy properties in St. Louis for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 63115,St. Louis,MO,63115,zillow_keyword,https://www.zillow.com/homes/63115_rb/?searchQueryState=%7B%22keyword%22%3A%22fixer%20upper%22%7D,fixer upper,st_louis,40,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063115&citystatezip=St.%20Louis%2C%20MO', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63115_st. louis-mo', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-63115/St. Louis-MO', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2063115%20St.%20Louis%2C%20MO', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2063115%20St.%20Louis%2C%20MO', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063115+St.%20Louis%2C%20MO+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063115+St.%20Louis%2C%20MO+email', 'county_assessor': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=St.%20Louis%2C%20MO+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2063115&citystatezip=St.%20Louis%2C%20MO'}","Hi, I saw your property at Zillow listing in 63115 and wanted to reach out. I buy properties in St. Louis for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 44105,Cleveland,OH,44105,zillow_keyword,https://www.zillow.com/homes/44105_rb/?searchQueryState=%7B%22keyword%22%3A%22lot%20value%22%7D,lot value,cleveland,35,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2044105&citystatezip=Cleveland%2C%20OH', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-44105_cleveland-oh', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-44105/Cleveland-OH', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2044105%20Cleveland%2C%20OH', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2044105%20Cleveland%2C%20OH', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2044105+Cleveland%2C%20OH+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2044105+Cleveland%2C%20OH+email', 'county_assessor': 'https://www.google.com/search?q=Cleveland%2C%20OH+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=Cleveland%2C%20OH+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2044105&citystatezip=Cleveland%2C%20OH'}","Hi there, I help homeowners in Cleveland sell quickly for cash. Saw your property at Zillow listing in 44105. Any interest in a no-obligation offer? - Rich. Reply STOP to opt out."
Zillow listing in 32205,Jacksonville / Tampa,FL,32205,zillow_keyword,https://www.zillow.com/homes/32205_rb/?searchQueryState=%7B%22keyword%22%3A%22vacant%20lot%22%7D,vacant lot,jacksonville,35,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2032205&citystatezip=Jacksonville%20/%20Tampa%2C%20FL', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-32205_jacksonville / tampa-fl', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-32205/Jacksonville / Tampa-FL', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2032205%20Jacksonville%20/%20Tampa%2C%20FL', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2032205%20Jacksonville%20/%20Tampa%2C%20FL', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2032205+Jacksonville%20/%20Tampa%2C%20FL+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2032205+Jacksonville%20/%20Tampa%2C%20FL+email', 'county_assessor': 'https://www.google.com/search?q=Jacksonville%20/%20Tampa%2C%20FL+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=Jacksonville%20/%20Tampa%2C%20FL+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2032205&citystatezip=Jacksonville%20/%20Tampa%2C%20FL'}","Hi there, I help homeowners in Jacksonville / Tampa sell quickly for cash. Saw your property at Zillow listing in 32205. Any interest in a no-obligation offer? - Rich. Reply STOP to opt out."
Zillow listing in 75217,Dallas-Fort Worth,TX,75217,zillow_keyword,https://www.zillow.com/homes/75217_rb/?searchQueryState=%7B%22keyword%22%3A%22handyman%20special%22%7D,handyman special,dallas,35,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2075217&citystatezip=Dallas-Fort%20Worth%2C%20TX', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-75217_dallas-fort worth-tx', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-75217/Dallas-Fort Worth-TX', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2075217%20Dallas-Fort%20Worth%2C%20TX', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2075217%20Dallas-Fort%20Worth%2C%20TX', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075217+Dallas-Fort%20Worth%2C%20TX+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075217+Dallas-Fort%20Worth%2C%20TX+email', 'county_assessor': 'https://www.google.com/search?q=Dallas-Fort%20Worth%2C%20TX+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=Dallas-Fort%20Worth%2C%20TX+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2075217&citystatezip=Dallas-Fort%20Worth%2C%20TX'}","Hi, I saw your property at Zillow listing in 75217 and wanted to reach out. I buy properties in Dallas-Fort Worth for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 32206,Jacksonville / Tampa,FL,32206,zillow_keyword,https://www.zillow.com/homes/32206_rb/?searchQueryState=%7B%22keyword%22%3A%22lot%20value%22%7D,lot value,jacksonville,35,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2032206&citystatezip=Jacksonville%20/%20Tampa%2C%20FL', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-32206_jacksonville / tampa-fl', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-32206/Jacksonville / Tampa-FL', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2032206%20Jacksonville%20/%20Tampa%2C%20FL', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2032206%20Jacksonville%20/%20Tampa%2C%20FL', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2032206+Jacksonville%20/%20Tampa%2C%20FL+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2032206+Jacksonville%20/%20Tampa%2C%20FL+email', 'county_assessor': 'https://www.google.com/search?q=Jacksonville%20/%20Tampa%2C%20FL+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=Jacksonville%20/%20Tampa%2C%20FL+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2032206&citystatezip=Jacksonville%20/%20Tampa%2C%20FL'}","Hello, I'm an investor interested in properties in Jacksonville / Tampa. I can close quickly with cash. Is your property at Zillow listing in 32206 available? - Rich, Everlight. STOP to opt out."
Zillow listing in 44104,Cleveland,OH,44104,zillow_keyword,https://www.zillow.com/homes/44104_rb/?searchQueryState=%7B%22keyword%22%3A%22as-is%22%7D,as-is,cleveland,30,"{'truepeoplesearch': 'https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2044104&citystatezip=Cleveland%2C%20OH', 'fastpeoplesearch': 'https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-44104_cleveland-oh', 'whitepages': 'https://www.whitepages.com/name/Owner-at-Zillow-listing-in-44104/Cleveland-OH', 'facebook': 'https://www.facebook.com/search/people/?q=Owner%20at%20Zillow%20listing%20in%2044104%20Cleveland%2C%20OH', 'linkedin': 'https://www.linkedin.com/search/results/people/?keywords=Owner%20at%20Zillow%20listing%20in%2044104%20Cleveland%2C%20OH', 'google_phone': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2044104+Cleveland%2C%20OH+phone+number', 'google_email': 'https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2044104+Cleveland%2C%20OH+email', 'county_assessor': 'https://www.google.com/search?q=Cleveland%2C%20OH+county+assessor+property+records', 'voter_records': 'https://www.google.com/search?q=Cleveland%2C%20OH+voter+registration+lookup', 'reverse_address': 'https://www.truepeoplesearch.com/results?streetaddress=Zillow%20listing%20in%2044104&citystatezip=Cleveland%2C%20OH'}","Hi, I saw your property at Zillow listing in 44104 and wanted to reach out. I buy properties in Cleveland for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
