address,city,state,score,sms_text
Zillow listing in 63107,St. Louis,MO,45,"Hello, I'm an investor interested in properties in St. Louis. I can close quickly with cash. Is your property at Zillow listing in 63107 available? - Rich, Everlight. STOP to opt out."
Zillow listing in 63118,St. Louis,MO,45,"Hi there, I help homeowners in St. Louis sell quickly for cash. Saw your property at Zillow listing in 63118. Any interest in a no-obligation offer? - Rich. Reply STOP to opt out."
Zillow listing in 75216,Dallas-Fort Worth,TX,40,"Hi, I saw your property at Zillow listing in 75216 and wanted to reach out. I buy properties in Dallas-Fort Worth for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 63107,St. Louis,MO,40,"Hi, I saw your property at Zillow listing in 63107 and wanted to reach out. I buy properties in St. Louis for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 63115,St. Louis,MO,40,"Hi, I saw your property at Zillow listing in 63115 and wanted to reach out. I buy properties in St. Louis for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 44105,Cleveland,OH,35,"Hi there, I help homeowners in Cleveland sell quickly for cash. Saw your property at Zillow listing in 44105. Any interest in a no-obligation offer? - Rich. Reply STOP to opt out."
Zillow listing in 32205,Jacksonville / Tampa,FL,35,"Hi there, I help homeowners in Jacksonville / Tampa sell quickly for cash. Saw your property at Zillow listing in 32205. Any interest in a no-obligation offer? - Rich. Reply STOP to opt out."
Zillow listing in 75217,Dallas-Fort Worth,TX,35,"Hi, I saw your property at Zillow listing in 75217 and wanted to reach out. I buy properties in Dallas-Fort Worth for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
Zillow listing in 32206,Jacksonville / Tampa,FL,35,"Hello, I'm an investor interested in properties in Jacksonville / Tampa. I can close quickly with cash. Is your property at Zillow listing in 32206 available? - Rich, Everlight. STOP to opt out."
Zillow listing in 44104,Cleveland,OH,30,"Hi, I saw your property at Zillow listing in 44104 and wanted to reach out. I buy properties in Cleveland for cash, fast close. Would you consider an offer? - Rich, Everlight Ventures. Reply STOP to opt out."
