owner_name,address,city,state,score,truepeoplesearch,fastpeoplesearch,google_phone
,Zillow listing in 63107,St. Louis,MO,45,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063107&citystatezip=St.%20Louis%2C%20MO,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63107_st. louis-mo,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063107+St.%20Louis%2C%20MO+phone+number
,Zillow listing in 63118,St. Louis,MO,45,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063118&citystatezip=St.%20Louis%2C%20MO,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63118_st. louis-mo,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063118+St.%20Louis%2C%20MO+phone+number
,Zillow listing in 75216,Dallas-Fort Worth,TX,40,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2075216&citystatezip=Dallas-Fort%20Worth%2C%20TX,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-75216_dallas-fort worth-tx,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075216+Dallas-Fort%20Worth%2C%20TX+phone+number
,Zillow listing in 63107,St. Louis,MO,40,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063107&citystatezip=St.%20Louis%2C%20MO,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63107_st. louis-mo,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063107+St.%20Louis%2C%20MO+phone+number
,Zillow listing in 63115,St. Louis,MO,40,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2063115&citystatezip=St.%20Louis%2C%20MO,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-63115_st. louis-mo,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2063115+St.%20Louis%2C%20MO+phone+number
,Zillow listing in 44105,Cleveland,OH,35,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2044105&citystatezip=Cleveland%2C%20OH,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-44105_cleveland-oh,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2044105+Cleveland%2C%20OH+phone+number
,Zillow listing in 32205,Jacksonville / Tampa,FL,35,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2032205&citystatezip=Jacksonville%20/%20Tampa%2C%20FL,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-32205_jacksonville / tampa-fl,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2032205+Jacksonville%20/%20Tampa%2C%20FL+phone+number
,Zillow listing in 75217,Dallas-Fort Worth,TX,35,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2075217&citystatezip=Dallas-Fort%20Worth%2C%20TX,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-75217_dallas-fort worth-tx,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2075217+Dallas-Fort%20Worth%2C%20TX+phone+number
,Zillow listing in 32206,Jacksonville / Tampa,FL,35,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2032206&citystatezip=Jacksonville%20/%20Tampa%2C%20FL,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-32206_jacksonville / tampa-fl,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2032206+Jacksonville%20/%20Tampa%2C%20FL+phone+number
,Zillow listing in 44104,Cleveland,OH,30,https://www.truepeoplesearch.com/results?name=Owner%20at%20Zillow%20listing%20in%2044104&citystatezip=Cleveland%2C%20OH,https://www.fastpeoplesearch.com/name/owner-at-zillow-listing-in-44104_cleveland-oh,https://www.google.com/search?q=Owner%20at%20Zillow%20listing%20in%2044104+Cleveland%2C%20OH+phone+number
