address,zip,city,state,property_type,parcel_id
942 S MELROSE,38104,Memphis,TN,SFR,015025  00024
101 LUCY,38106,Memphis,TN,SFR,024058  00005
108 E OLIVE,38106,Memphis,TN,SFR,024055  00038
1112 SAXON,38106,Memphis,TN,SFR,026013  00022
1174 S ORLEANS,38106,Memphis,TN,SFR,025043  00027
1250 DUNNAVANT,38106,Memphis,TN,SFR,026056  00056
1252 MARKSMAN,38106,Memphis,TN,SFR,025049  00024
1261 CARLTON,38106,Memphis,TN,SFR,060170  00016
1298 ENGLEWOOD,38106,Memphis,TN,SFR,026032  00030
1303 MICHIGAN,38106,Memphis,TN,SFR,024055  00017
1329 MICHIGAN,38106,Memphis,TN,SFR,024055  00028
1363 ETHLYN,38106,Memphis,TN,SFR,048018  00007
0 DOROTHY,38104,Memphis,TN,VACANT,032028  00006
0 EFFIE,38106,Memphis,TN,VACANT,060051  00043
0 ETHLYN,38106,Memphis,TN,VACANT,048030  00002C
0 FRANK,38106,Memphis,TN,VACANT,C0233   00363
0 KERR,38106,Memphis,TN,VACANT,026040  00021
0 PATTON,38106,Memphis,TN,VACANT,035097  00011
0 PIONEER,38106,Memphis,TN,VACANT,024010  00009
0 RAYBURN,38106,Memphis,TN,VACANT,035093  00011
0 RIVERSIDE,38106,Memphis,TN,VACANT,035026  00016
0 ROZELLE,38106,Memphis,TN,VACANT,060086  00038
0 W UTAH,38106,Memphis,TN,VACANT,024057  00023
1100 S COOPER,38104,Memphis,TN,SFR,029037  00001
1172 AGNES,38104,Memphis,TN,SFR,032025  00018
