state,market,rank,company,phone,website,investor_friendly,primary,deals_closed,avg_close_days,ease_score,profit_score,last_contact,notes
GA,Atlanta,1,Georgia Title & Escrow Co LLC,(678) 448-4148,https://georgiatitle.com,yes,y,0,,,,,"Advertises wholesaling + assignments + double-closings. Buckhead office, attorney-state compliant."
GA,Atlanta,2,Morris Hardwick Schneider (MHS),(404) 814-9247,https://closingsource.net,yes,n,0,,,,,"Large GA closing firm. Handles assignments + double-closings. Druid Hills volume shop."
GA,Atlanta,3,Katz Durell PLLC,via website,https://katzdurell.com,yes,n,0,,,,,"Explicit /investors page. Attorney-led. Routinely closes wholesaler transactions."
GA,Atlanta,4,Chalker & Chalker,via website,https://chalkerandchalker.com,yes,n,0,,,,,"Wholesaler-friendly per BP threads. Fast email response, quick close. Smaller shop."
GA,Atlanta,5,Chicago Title - Atlanta,varies by branch,https://atlantactic.com,branch_dependent,n,0,,,,,"Fidelity-family. Use only with named escrow officer referral. Corporate policy varies."
TX,Dallas,1,Texas Title,(972) 733-3800,https://texastitle.com,yes,y,0,,,,,"19111 Dallas Pkwy Ste 120. Widely used by DFW wholesalers. Handles assignments + double-closings."
TX,Dallas,2,First Option Title,via website,https://1stoptiontitle.com,yes,n,0,,,,,"Texas-only. Explicitly markets to investors and wholesalers."
TX,Dallas,3,CLOSED Title - Dallas,via website,https://closedtitle.com,yes,n,0,,,,,"Built FOR investors. Dedicated /investors page. Assignments, double-closings, creative deals."
TX,Dallas,4,Republic Title of Texas - Uptown,(214) 855-8888,https://republictitle.com,mixed,n,0,,,,,"2626 Howell St 10th Fl. Big DFW name. Very professional but wholesale tolerance varies by escrow officer."
TX,Dallas,5,Fidelity National Title - Dallas,varies,https://fntic.com,branch_dependent,n,0,,,,,"National. Some branches handle, most refuse. Only with named officer."
FL,Jacksonville,1,Sunshine Title Corporation,via website,https://sunshinetitle.com,yes,y,0,,,,,"30+ years. Processes most Duval County orders within 2 business days. Fast = wholesaler gold."
FL,Jacksonville,2,Marina Title - Jacksonville,via website,https://marinatitle.com/locations/jacksonville-fl,yes,n,0,,,,,"Attorney-owned. Explicitly founded to serve real estate investors. Statewide FL coverage."
FL,Jacksonville,3,Cherry Title LLC,via website,https://cherrytitle.us,yes,n,0,,,,,"Downtown Jacksonville office. Serves Duval + 4 surrounding counties. Local boutique."
FL,Jacksonville,4,First Coast Title Services,via website,https://firstcoasttitlellc.com,yes,n,0,,,,,"Wide service range. Locally recommended for investor closings."
FL,Jacksonville,5,Fidelity National Title - Jax,varies,https://fntic.com,branch_dependent,n,0,,,,,"HQ'd in Jacksonville but individual branches still vary on assignment tolerance."
NC,Charlotte,1,Harry Marsh Law,via website,https://harrymarshlaw.com,yes,n,0,,,,,"PAUSED: NC HB 797 requires broker license. 50% of volume is investors. King of creative closings per BP. Works with transactional funders for double-closes."
NC,Charlotte,2,Taylor Law Firm,via website,https://taylorlawfirmnc.com,yes,n,0,,,,,"PAUSED: NC HB 797. Dedicated /real-estate-investment page. Well-versed in wholesaler transactions."
NC,Charlotte,3,24 Hour Closing,via website,https://24hourclose.com,yes,n,0,,,,,"PAUSED: NC HB 797. Full-service investor closing firm. Branded around speed."
NC,Charlotte,4,McGrath & Spielberger PLLC,via website,https://mcgrathspielberger.com,yes,n,0,,,,,"PAUSED: NC HB 797. Investor closings listed in practice areas. Multi-state footprint (NC/SC/FL)."
NC,Charlotte,5,Chicago Title - Charlotte,(704) 375-0700,https://northcarolina.ctic.com/Offices/Charlotte,underwriter_only,n,0,,,,,"PAUSED: NC HB 797. 128 S Tryon St. Title insurer not primary closer."
MO,St. Louis,1,Investors Title Company,(636) 916-1722,https://investors-title.com,yes,y,0,,,,,"Largest independently-owned in St. Louis. 20+ locations, 50 years. Name is literal - built for this."
MO,St. Louis,2,Eastern Title,via website,https://easterntitle.com/missouri/saint-louis,yes,n,0,,,,,"Explicit investor page: wholesale, distressed, double-closings, novations, sub-to. RON available."
